"country","iso3","year","region","population","production_co2","consumption_co2","net_embodied_carbon","production_co2_per_capita","consumption_co2_per_capita","net_embodied_carbon_per_capita","responsibility_type","longitude","latitude","iso_num"
"Philippines","PHL","2002","Asia","83068889","0.069","0.088","0.019","0.84","1.06","0.22","net_importer","122","13","608"
"Poland","POL","2002","Europe","38229407","0.306","0.28","-0.026","8","7.32","-0.68","net_exporter","20","52","616"
"Portugal","PRT","2002","Europe","10413045","0.07","0.092","0.022","6.68","8.86","2.18","net_importer","-8","39","620"
"Romania","ROU","2002","Europe","21770020","0.099","0.094","-0.005","4.55","4.33","-0.22","net_exporter","25","46","642"
"Russia","RUS","2002","Europe/Asia","145939502","1.508","1.111","-0.397","10.34","7.61","-2.73","net_exporter","90","60","643"
"Saudi Arabia","SAU","2002","Middle East","17910909","0.347","0.236","-0.111","19.37","13.18","-6.19","net_exporter","45","24","682"
"South Africa","ZAF","2002","Africa","48019414","0.357","0.255","-0.102","7.42","5.31","-2.11","net_exporter","24","-29","710"
"South Korea","KOR","2002","Asia","47299118","0.476","0.541","0.065","10.06","11.43","1.37","net_importer","128","36","410"
"Spain","ESP","2002","Europe","41755703","0.331","0.357","0.026","7.93","8.55","0.62","net_importer","-4","40","724"
"Sweden","SWE","2002","Europe","8925045","0.057","0.08","0.023","6.35","8.99","2.64","net_importer","15","62","752"
"Switzerland","CHE","2002","Europe","7278744","0.043","0.098","0.055","5.97","13.46","7.49","net_importer","8","47","756"
"Thailand","THA","2002","Asia","64266433","0.185","0.172","-0.013","2.87","2.68","-0.19","balanced","101","15","764"
"Turkey","TUR","2002","Europe/Asia","67048792","0.224","0.224","0","3.35","3.35","0","balanced","35","39","792"
"Ukraine","UKR","2002","Europe","48677280","0.296","0.244","-0.052","6.08","5.01","-1.07","net_exporter","31","49","804"
"United Arab Emirates","ARE","2002","Middle East","3956829","0.085","0.089","0.004","21.54","22.39","0.85","net_importer","54","24","784"
"United Kingdom","GBR","2002","Europe","59540764","0.56","0.735","0.175","9.41","12.34","2.93","net_importer","-2","54","826"
"United States","USA","2002","North America","287084335","5.948","6.274","0.326","20.72","21.85","1.13","net_importer","-98","39","840"
"Vietnam","VNM","2002","Asia","78772227","0.07","0.048","-0.022","0.88","0.61","-0.27","net_exporter","108","16","704"
"Argentina","ARG","2003","South America","38424283","0.134","0.118","-0.016","3.5","3.06","-0.44","net_exporter","-64","-34","032"
"Australia","AUS","2003","Oceania","19819449","0.371","0.343","-0.028","18.71","17.28","-1.43","net_exporter","134","-25","036"
